Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26590;2023.09.20 15:38:48;100;0;0;0;0;49;51;10;50,46
26589;2023.09.20 15:31:35;0;0;25;0;0;0;25;5;24,98
26588;2023.09.20 15:30:29;0;0;25;0;0;0;25;5;25,02
26587;2023.09.20 13:59:56;0;0;25;0;0;0;25;5;24,98
26586;2023.09.20 13:29:26;0;6;0;0;0;0;6;1,2;6
26585;2023.09.20 10:25:26;50;0;0;0;0;0;50;10;50
26584;2023.09.20 10:21:40;0;25;0;0;0;0;25;5;25,02
26583;2023.09.20 09:09:43;50;0;0;0;0;0;50;10;50
26582;2023.09.20 07:04:18;0;25;0;0;0;0;25;5;24,98
26581;2023.09.20 06:10:12;0;10;0;0;0;0;10;2;10
26580;2023.09.20 05:38:19;0;25;0;0;0;0;25;5;25,02
26579;2023.09.19 22:57:38;0;25;0;0;0;0;25;5;24,98
26578;2023.09.19 22:09:55;0;25;0;0;0;0;25;5;25,02
26577;2023.09.19 21:47:43;100;0;0;0;0;0;100;20;100
26576;2023.09.19 20:37:57;0;0;25;0;0;0;25;5;24,98
26575;2023.09.19 20:00:54;0;50;0;0;0;0;50;10;50
26574;2023.09.19 19:27:11;50;0;0;0;0;0;50;10;50
26573;2023.09.19 19:07:06;0;0;25;0;0;0;25;5;25,02
